PROCESS_CONTROL_ID,TRANSACTION_CONTROL_ID,LOG_MESSAGE_STATUS,LOG_MESSAGE_DATE,LOG_MESSAGE_TEXT,CREATED_BY,CREATION_DATE,LAST_UPDATE_DATE,LAST_UPDATED_BY
147096,2526,I,"2022-11-28 08:47:06","Refresh QMS Error Checking Started",event_scheduler@localhost,"2022-11-28 08:47:06","2022-11-28 08:47:06",event_scheduler@localhost
147097,2526,I,"2022-11-28 08:47:30","Refresh QMS Staffing Error Checking Started",event_scheduler@localhost,"2022-11-28 08:47:30","2022-11-28 08:47:30",event_scheduler@localhost
147098,2526,I,"2022-11-28 08:47:32","Refresh Employee Work Schedule Started",event_scheduler@localhost,"2022-11-28 08:47:32","2022-11-28 08:47:32",event_scheduler@localhost
147099,2526,I,"2022-11-28 08:47:32","Populate Pay Period Calendar Dates Started",event_scheduler@localhost,"2022-11-28 08:47:32","2022-11-28 08:47:32",event_scheduler@localhost
147100,2526,I,"2022-11-28 08:47:32","Populate Pay Period Calendar Dates Completed",event_scheduler@localhost,"2022-11-28 08:47:32","2022-11-28 08:47:32",event_scheduler@localhost
147101,2526,I,"2022-11-28 08:48:40","Base Temp Work Schedule Populated170310",event_scheduler@localhost,"2022-11-28 08:48:40","2022-11-28 08:48:40",event_scheduler@localhost
147102,2526,I,"2022-11-28 08:48:44","Base Work Schedule Inserted170310",event_scheduler@localhost,"2022-11-28 08:48:44","2022-11-28 08:48:44",event_scheduler@localhost
147103,2526,I,"2022-11-28 08:56:24","Absence Data Populated",event_scheduler@localhost,"2022-11-28 08:56:24","2022-11-28 08:56:24",event_scheduler@localhost
147104,2526,I,"2022-11-28 08:56:28","Final Work Schedule Process is Completed",event_scheduler@localhost,"2022-11-28 08:56:28","2022-11-28 08:56:28",event_scheduler@localhost
147105,2526,I,"2022-11-28 08:57:02","Refresh QMS Error Checking Completed",event_scheduler@localhost,"2022-11-28 08:57:02","2022-11-28 08:57:02",event_scheduler@localhost
147106,2526,I,"2022-11-28 08:57:02","Latest Transaction Control ID Refresh Started",event_scheduler@localhost,"2022-11-28 08:57:02","2022-11-28 08:57:02",event_scheduler@localhost
147107,2526,I,"2022-11-28 08:57:02","Latest Transaction Control ID Refresh Completed",event_scheduler@localhost,"2022-11-28 08:57:02","2022-11-28 08:57:02",event_scheduler@localhost
